flight_iata,Aircraft_Model,Aircraft_isTurboProp,Aircraft_isWidebody
TR658,Airbus A321neo,False,False
TR452,Airbus A321neo,False,False
PG261,Airbus A319,False,False
AK5204,Airbus A320,False,False
MH611,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
D7798,Airbus A330-300,False,True
OD306,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH740,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH786,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH182,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH125,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ508,Boeing 737MAX 8 Passenger,False,False
SQ938,Boeing 787-10,False,True
WE251,Airbus A320 (sharklets),False,False
QZ321,Airbus A320,False,False
3K684,Airbus A320,False,False
MH1138,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH4,Airbus A350-900,False,True
MH174,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ308,Airbus A380-800 Passenger,False,True
PG119,Airbus A319,False,False
MH754,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH1432,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH784,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH711,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH715,Airbus A330-300,False,True
AK702,Airbus A320,False,False
TR676,Airbus A321neo,False,False
MH72,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH2574,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ103,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH172,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH750,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
AI347,Airbus A320neo,False,False
AI333,Boeing 787-8,False,True
PG931,Airbus A319,False,False
TG431,Boeing 777-200 / 200ER,False,True
TG415,Boeing 787-8,False,True
WE576,None,None,None
QZ201,Airbus A320,False,False
TR474,Airbus A320neo,False,False
SQ164,Boeing 737MAX 8 Passenger,False,False
UL403,Airbus A320,False,False
OD801,Boeing 737MAX 8 Passenger,False,False
